name,year,month,boxfile,director,actor,genre,score
精灵旅社2,2015,10,119.0,格恩迪·塔塔科夫斯基,"亚当·桑德勒,安迪·萨姆伯格,赛琳娜·戈麦斯,凯文·詹姆斯,史蒂夫·布西密","动画,喜剧,家庭",9.0
明日世界,2015,05,118.0,布拉德·伯德,"乔治·克鲁尼,休·劳瑞,布丽特·罗伯森,拉菲·卡西迪,蒂姆·麦格罗","冒险,科幻,家庭",7.7
我的个神啊,2015,05,118.0,拉吉库马尔·希拉尼,"Aamir Hussain Khan,安努舒卡·莎玛,苏尚特·辛格·拉吉普特,桑杰·达特,博曼·伊拉尼","喜剧,爱情,奇幻",9.0
爸爸的假期,2015,02,114.99999999999999,王岳伦,"郭涛,郭子睿,林志颖,小小志,王岳伦","喜剧,家庭",5.4
不可思异,2015,12,111.00000000000001,孙周,"王宝强,小沈阳,大鹏,杨抒文,尹正","剧情,喜剧,科幻",6.4
分歧者2：绝地反击,2015,06,110.00000000000001,罗伯特·斯文克,"谢琳·伍德蕾,提奥·詹姆斯,奥克塔维亚·斯宾瑟,杰·科特尼,迈尔斯·特勒","惊悚,冒险,科幻",7.8
超能查派,2015,05,103.0,尼尔·布洛姆坎普,"沙尔托·科普雷,忍者,尤兰蒂·维瑟,何塞·巴勃罗·坎蒂略,西格妮·韦弗","动作,科幻,犯罪",8.4
绝命海拔,2015,11,102.0,巴塔萨·科马库,"杰森·克拉克,乔什·布洛林,约翰·浩克斯,罗宾·怀特,艾米丽·沃森","剧情,冒险,传记",8.2
像素大战,2015,09,100.0,克里斯·哥伦布,"亚当·桑德勒,米歇尔·莫纳汉,凯文·詹姆斯,彼特·丁拉基,乔什·加德","喜剧,动作,科幻",8.0
帕丁顿熊,2015,03,99.445,保罗·金,"本·威士肖,妮可·基德曼,休·博纳维尔,莎莉·霍金斯,吉姆·布劳德本特","喜剧,动画,家庭",9.0
一代宗师3D,2015,01,97.741,王家卫,"梁朝伟,章子怡,张震,赵本山,小沈阳","剧情,动作,传记",8.2
头脑特工队,2015,10,97.23,"彼特·道格特,罗纳尔多·德尔·卡门","艾米·波勒,菲利丝·史密斯,敏迪·卡灵,比尔·哈德尔,刘易斯·布莱克","动画,喜剧,家庭",9.0
一念天堂,2015,12,82.561,张承,"沈腾,马丽,杜晓宇,林雪,刘小宝","剧情,喜剧",6.0
名侦探柯南：业火的向日葵,2015,10,81.624,静野孔文,"高山南,山崎和佳奈,小山力也,山口胜平,松井菜樱子","动画,悬疑,冒险",8.0
洛克王国4：出发！巨人谷,2015,08,76.984,"乌格斯·马特尔,曹东飈","陶典,关晓彤,林颖,胡夏,詹佳",动画,8.4
消失的凶手,2015,11,76.976,罗志良,"刘青云,林家栋,李小璐,江一燕,郭晓东","动作,悬疑,犯罪",6.4
第三种爱情,2015,09,73.251,李宰汉,"刘亦菲,宋承宪,欧弟,孟佳,江语晨",爱情,7.8
黑猫警长之翡翠之星,2015,08,72.22800000000001,"于胜军,姚光华,施屹,青松,史学刚","赵路,吴天昊,林子杰,刘莹,程玉珠","喜剧,动画,动作",8.3
一路惊喜,2015,02,68.959,"金依萌,潘安子,章家瑞,宋迪","郭采洁,凤小岳,赵丽颖,蒋劲夫,萧敬腾","爱情,家庭,喜剧",7.7
命中注定,2015,07,67.934,张皓,"汤唯,廖凡,苏岩,刘韬,谢东燊","喜剧,爱情",7.8
有种你爱我,2015,02,67.667,李欣蔓,"郑恺,江一燕,于笑,于嘉萌,常方源","剧情,喜剧,爱情",8.2
喜羊羊与灰太狼之羊年喜羊羊,2015,01,67.497,黄伟明,"祖晴,张琳,邓玉婷,梁颖,高全胜","喜剧,动画",8.3
我是路人甲,2015,07,64.923,尔冬升,"万国鹏,王婷,沈凯,徐小琴,林晨","剧情,喜剧",8.2
桂宝之爆笑闯宇宙,2015,08,64.27600000000001,王云飞,"王云飞,宝木中阳,何冠男,刘校妤,山新","喜剧,动画,科幻",8.2
陪安东尼度过漫长岁月,2015,11,62.577,秦小珍,"刘畅,白百何,唐艺昕,白举纲,宋芸桦","剧情,爱情",7.8
剩者为王,2015,11,61.483999999999995,落落,"舒淇,彭于晏,潘虹,金士杰,邢佳栋","剧情,爱情",7.7
刺客聂隐娘,2015,08,61.405,侯孝贤,"舒淇,张震,周韵,妻夫木聪,阮经天","剧情,武侠,古装",6.3
海绵宝宝,2015,12,56.67,"保罗·蒂贝特,保罗·提比特,迈克·米切尔","汤姆·肯尼,比尔·法格巴克,Mr. Lawrence,安东尼奥·班德拉斯,克兰西·布朗","喜剧,动画,冒险",8.5
赛尔号大电影5：雷神崛起,2015,07,56.623000000000005,王章俊,"罗玉婷,翟巍,孙晔,吴磊,蒋可","动画,剧情,冒险",8.7
从天儿降,2015,12,56.494,"魏民,魏楠","陈学冬,张艺兴,姜雯,李小璐,欧阳俊文","喜剧,科幻,爱情",7.5
师父,2015,12,54.718999999999994,徐浩峰,"廖凡,宋佳,蒋雯丽,金士杰,宋洋","剧情,动作,武侠",8.0
小羊肖恩,2015,07,53.787,"马克·伯顿,理查德·斯塔扎克","约翰·斯帕克斯,贾斯汀·弗莱彻,欧米德·吉亚李利,理查德·韦伯,凯特·哈伯","喜剧,动画,冒险",9.2
恋爱中的城市,2015,08,53.653,"文牧野,董润年,韩轶,傅天余,冀佳彤","杨幂,郑开元,江疏影,李贤宰,张榕容","剧情,爱情",6.9
模仿游戏,2015,07,52.556000000000004,莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,罗里·金奈尔,查尔斯·丹斯","剧情,战争,传记",9.3
太平轮·彼岸,2015,07,51.052,吴宇森,"章子怡,金城武,宋慧乔,黄晓明,佟大为","剧情,爱情,灾难",7.8
少年班,2015,06,50.68600000000001,肖洋,"孙红雷,周冬雨,董子健,王栎鑫,王紫璇","剧情,喜剧",7.8
既然青春留不住,2015,10,50.203,田蒙,"张翰,陈乔恩,施予斐,王啸坤,陈雅斓","喜剧,爱情",8.2
杜拉拉追婚记,2015,12,49.599,安竹间,"周渝民,林依晨,陈柏霖,林珍娜,李佳航","喜剧,爱情",8.0
华丽上班族,2015,09,47.505,杜琪峰,"周润发,张艾嘉,汤唯,陈奕迅,王紫逸","剧情,爱情,歌舞",5.9
屠魔战士,2015,05,47.035,斯图尔特·贝亚蒂耶,"阿伦·伊克哈特,比尔·奈伊,伊冯娜·斯特拉霍夫斯基,米兰达·奥图,杰·科特尼","动作,科幻,奇幻",7.5
暗杀,2015,09,46.98,崔东勋,"李政宰,全智贤,河正宇,吴达洙,赵震雄","剧情,犯罪,历史",8.8
坏蛋必须死,2015,11,46.957,孙皓,"陈柏霖,孙艺珍,乔振宇,申贤俊,张光","悬疑,喜剧,爱情",7.9
圣诞大赢家,2015,12,46.912,毛呆,"洛如菲,宝木中阳,阿杰,小连杀,藤新","动画,喜剧",7.6
潜艇总动员之时光宝盒,2015,05,46.361999999999995,何子力,"范楚绒,洪海天,谢元真,王燕华,李晔","喜剧,动画,冒险",8.5
魔法总动员,2015,04,45.83,"本·斯塔森,杰里米·德格鲁森","辛达·亚当斯,道格·斯通,乔治·巴比特,默里·布卢,凯思琳·布劳尔斯","动画,冒险,家庭",8.9
猪猪侠之终极决战,2015,07,45.49,"陆锦明,陆锦辉","陆双,祖晴,陈志荣,徐经纬,王萍","喜剧,动画,冒险",8.5
暴疯语,2015,04,44.891999999999996,李光耀,"刘青云,黄晓明,方中信,薛凯琪,叶璇","悬疑,惊悚",7.3
十月初五的月光,2015,11,42.558,叶念琛,"张智霖,佘诗曼,薛家燕,陈乔恩,唐文龙","剧情,爱情",8.1
宅女侦探桂香,2015,08,41.36600000000001,彭顺,"周渝民,王珞丹,任达华,天心,鲍起静","喜剧,爱情,悬疑",5.6
将错就错,2015,03,39.084,王宁,"小沈阳,田亮,陈小春,熊黛林,李诚儒","喜剧,爱情",5.8
巴啦啦小魔仙之魔箭公主,2015,10,38.284,"陈诚,陈诚","赵粤,戴萌,赵今麦,刘黛希,香奈儿","奇幻,冒险,动作",7.9
神探驾到,2015,02,37.080999999999996,"黄百鸣,邱礼涛","古天乐,张翰,曾志伟,毛舜筠,柳岩","喜剧,爱情,悬疑",3.2
坚不可摧,2015,01,36.745,安吉丽娜·朱莉,"杰克·奥康奈尔,加内特·赫德兰,芬·维特洛克,多姆纳尔·格里森,杰·科特尼","战争,运动,传记",8.6
史努比：花生大电影,2015,11,36.669000000000004,史蒂夫·马蒂诺,"诺亚·施纳普,比尔·莫伦茨,弗朗西斯卡·卡帕尔迪,马里埃尔·希茨,亚历山大·加芬","喜剧,动画,冒险",8.2
山河故人,2015,10,32.256,贾樟柯,"赵涛,张译,梁景东,董子健,张艾嘉","剧情,爱情,家庭",7.9
